OUTBOUND_DATE,PLANT_NAME,MODE_OF_TRANSPORT,MATERIAL_NAME,CUSTOMER_NUMBER,NET_QUANTITY_MT
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0064,CST-00057,23
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00058,16.5
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00058,16.5
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0378,CST-00059,19.25
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00058,16.5
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0378,CST-00059,5.5
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0386,CST-00060,1.03
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0386,CST-00060,0.4
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0386,CST-00060,1.33
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00037,22.5
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00037,13.5
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00038,15
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00038,0.13
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00038,1.38
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0375,CST-00025,0.1
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00061,9
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0005,CST-00062,0.03
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00063,4.33
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00063,21
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00063,0.18
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0142,CST-00064,18
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00065,15
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00011,24.6
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00011,0.03
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00011,0.13
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,0.05
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,13.75
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,0.28
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,10.68
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0111,CST-00066,8.25
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0111,CST-00066,16.5
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00037,12
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00038,15
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00038,9
3/1/2024,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00065,10.5
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00038,25.5
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00067,25.5
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00068,25.5
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00069,25.5
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00043,25.5
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00058,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00002,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00002,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00070,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00070,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00058,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00046,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00049,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00050,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00050,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00050,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00071,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0099,CST-00011,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00073,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00073,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00074,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00075,3
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00003,3
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00003,2.85
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00003,0.15
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0046,CST-00076,0.05
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0317,CST-00077,0.5
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0340,CST-00078,0.08
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0340,CST-00078,0.13
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00079,0.5
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00037,13.5
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0333,CST-00080,0.1
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00079,0.18
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00079,0.05
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00079,1.28
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0390,CST-00081,12.38
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00082,4.5
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00083,18
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00084,10
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00085,15
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00084,12.5
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.08
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,12.28
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,1.3
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,9.63
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2.68
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,1.3
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.23
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,22
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.03
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,23.38
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,19.03
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,5.5
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,0.23
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,1.38
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00074,19.25
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00074,5.5
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0046,CST-00025,0.15
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0055,CST-00025,0.2
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00049,0.1
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00049,11
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00049,13.65
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00037,25.5
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00037,12
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0390,CST-00008,13.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00086,21.85
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00086,0.15
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0390,CST-00008,11
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00086,2.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0111,CST-00086,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00035,24.75
4/1/2024,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00085,10.5
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00087,25.5
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00003,25.5
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,25.5
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00089,25.5
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,25.5
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,25.5
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,25.5
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,25.5
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00091,25.5
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00002,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00046,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00092,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00074,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00074,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00093,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00093,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00093,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00093,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00094,8.13
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00094,0.13
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00094,16.5
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,0.65
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,4.15
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,19.5
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,1.2
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00095,15
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0413,CST-00096,0.05
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0103,CST-00096,1.38
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0035,CST-00097,2.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00098,0.3
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00098,1.45
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00098,0.68
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00098,0.58
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0142,CST-00025,0.03
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0035,CST-00025,4.13
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0380,CST-00025,0.1
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0197,CST-00025,0.08
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,1.13
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,1.28
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,0.1
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,1.3
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,1.33
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,1.25
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,0.03
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,1.28
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,1.43
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,1.4
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00087,0.78
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00087,24
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00087,0.73
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00025,0.03
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00025,0.2
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00099,0.8
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00099,1.43
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00099,0.78
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00100,13.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0142,CST-00101,9
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00102,6
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,14.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,17.35
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,10.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,8.15
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00103,18
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0196,CST-00104,22.5
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0201,CST-00095,10.5
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00049,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00049,24.75
5/1/2024,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00049,16.5
