Month,PLANT_NAME,MATERIAL_NAME,UNRESRICTED_STOCK
2024-01-01,CHINA-WAREHOUSE,MAT-0113,153350
2024-01-01,CHINA-WAREHOUSE,MAT-0114,108850
2024-01-01,CHINA-WAREHOUSE,MAT-0115,24725
2024-01-01,CHINA-WAREHOUSE,MAT-0116,12975
2024-01-01,CHINA-WAREHOUSE,MAT-0117,350
2024-01-01,CHINA-WAREHOUSE,MAT-0118,0
2024-01-01,CHINA-WAREHOUSE,MAT-0119,0
2024-01-01,CHINA-WAREHOUSE,MAT-0120,0
2024-01-01,CHINA-WAREHOUSE,MAT-0121,0
2024-01-01,CHINA-WAREHOUSE,MAT-0122,0
2024-01-01,CHINA-WAREHOUSE,MAT-0123,0
2024-01-01,CHINA-WAREHOUSE,MAT-0124,0
2024-01-01,CHINA-WAREHOUSE,MAT-0125,0
2024-01-01,CHINA-WAREHOUSE,MAT-0126,0
2024-01-01,CHINA-WAREHOUSE,MAT-0127,0
2024-01-01,CHINA-WAREHOUSE,MAT-0128,0
2024-01-01,CHINA-WAREHOUSE,MAT-0129,0
2024-01-01,CHINA-WAREHOUSE,MAT-0130,0
2024-01-01,CHINA-WAREHOUSE,MAT-0131,0
2024-01-01,CHINA-WAREHOUSE,MAT-0132,0
2024-01-01,CHINA-WAREHOUSE,MAT-0133,0
2024-01-01,CHINA-WAREHOUSE,MAT-0134,0
2024-01-01,CHINA-WAREHOUSE,MAT-0135,0
2024-01-01,CHINA-WAREHOUSE,MAT-0136,0
2024-01-01,CHINA-WAREHOUSE,MAT-0137,389125
2024-01-01,CHINA-WAREHOUSE,MAT-0138,23725
2024-01-01,CHINA-WAREHOUSE,MAT-0139,0
2024-01-01,CHINA-WAREHOUSE,MAT-0140,0
2024-01-01,CHINA-WAREHOUSE,MAT-0141,8534
2024-01-01,CHINA-WAREHOUSE,MAT-0142,869650
2024-01-01,CHINA-WAREHOUSE,MAT-0143,680525
2024-01-01,CHINA-WAREHOUSE,MAT-0144,276450
2024-01-01,CHINA-WAREHOUSE,MAT-0145,1179900
2024-01-01,CHINA-WAREHOUSE,MAT-0146,598575
2024-01-01,CHINA-WAREHOUSE,MAT-0147,208175
2024-01-01,CHINA-WAREHOUSE,MAT-0148,158600
2024-01-01,CHINA-WAREHOUSE,MAT-0149,0
2024-01-01,CHINA-WAREHOUSE,MAT-0150,230125
2024-01-01,CHINA-WAREHOUSE,MAT-0151,147700
2024-01-01,CHINA-WAREHOUSE,MAT-0152,40950
2024-01-01,CHINA-WAREHOUSE,MAT-0153,25400
2024-01-01,CHINA-WAREHOUSE,MAT-0154,137750
2024-01-01,CHINA-WAREHOUSE,MAT-0155,142
2024-01-01,CHINA-WAREHOUSE,MAT-0156,19125
2024-01-01,CHINA-WAREHOUSE,MAT-0157,700
2024-01-01,CHINA-WAREHOUSE,MAT-0158,210850
2024-01-01,CHINA-WAREHOUSE,MAT-0159,237625
2024-01-01,CHINA-WAREHOUSE,MAT-0160,0
2024-01-01,CHINA-WAREHOUSE,MAT-0161,99000
2024-01-01,CHINA-WAREHOUSE,MAT-0162,24750
2024-01-01,CHINA-WAREHOUSE,MAT-0163,0
2024-01-01,CHINA-WAREHOUSE,MAT-0164,0
2024-01-01,CHINA-WAREHOUSE,MAT-0165,0
2024-01-01,CHINA-WAREHOUSE,MAT-0166,0
2024-01-01,CHINA-WAREHOUSE,MAT-0167,0
2024-01-01,CHINA-WAREHOUSE,MAT-0168,0
2024-01-01,CHINA-WAREHOUSE,MAT-0169,0
2024-01-01,CHINA-WAREHOUSE,MAT-0170,0
2024-01-01,CHINA-WAREHOUSE,MAT-0171,0
2024-01-01,CHINA-WAREHOUSE,MAT-0172,0
2024-01-01,CHINA-WAREHOUSE,MAT-0173,0
2024-01-01,CHINA-WAREHOUSE,MAT-0174,0
2024-01-01,CHINA-WAREHOUSE,MAT-0175,0
2024-01-01,CHINA-WAREHOUSE,MAT-0176,102000
2024-01-01,CHINA-WAREHOUSE,MAT-0177,2500
2024-01-01,CHINA-WAREHOUSE,MAT-0178,2525
2024-01-01,CHINA-WAREHOUSE,MAT-0179,22150
2024-01-01,CHINA-WAREHOUSE,MAT-0180,46700
2024-01-01,CHINA-WAREHOUSE,MAT-0181,0
2024-01-01,CHINA-WAREHOUSE,MAT-0182,0
2024-01-01,CHINA-WAREHOUSE,MAT-0183,0
2024-01-01,CHINA-WAREHOUSE,MAT-0184,0
2024-01-01,CHINA-WAREHOUSE,MAT-0185,0
2024-01-01,CHINA-WAREHOUSE,MAT-0186,0
2024-01-01,CHINA-WAREHOUSE,MAT-0187,0
2024-01-01,CHINA-WAREHOUSE,MAT-0188,0
2024-01-01,CHINA-WAREHOUSE,MAT-0189,0
2024-01-01,CHINA-WAREHOUSE,MAT-0190,0
2024-01-01,CHINA-WAREHOUSE,MAT-0191,0
2024-01-01,CHINA-WAREHOUSE,MAT-0192,0
2024-01-01,CHINA-WAREHOUSE,MAT-0193,192440
2024-01-01,CHINA-WAREHOUSE,MAT-0194,194
2024-01-01,CHINA-WAREHOUSE,MAT-0195,459000
2024-01-01,CHINA-WAREHOUSE,MAT-0196,0
2024-01-01,CHINA-WAREHOUSE,MAT-0197,0
2024-01-01,CHINA-WAREHOUSE,MAT-0198,715750
2024-01-01,CHINA-WAREHOUSE,MAT-0199,21969
2024-01-01,CHINA-WAREHOUSE,MAT-0200,600
2024-01-01,CHINA-WAREHOUSE,MAT-0201,1051750
2024-01-01,CHINA-WAREHOUSE,MAT-0202,193625
2024-01-01,CHINA-WAREHOUSE,MAT-0203,5500
2024-01-01,CHINA-WAREHOUSE,MAT-0204,10200
2024-01-01,CHINA-WAREHOUSE,MAT-0205,386
2024-01-01,CHINA-WAREHOUSE,MAT-0206,590500
2024-01-01,CHINA-WAREHOUSE,MAT-0207,48125
2024-01-01,CHINA-WAREHOUSE,MAT-0208,0
2024-01-01,CHINA-WAREHOUSE,MAT-0209,0
2024-01-01,CHINA-WAREHOUSE,MAT-0210,0
2024-01-01,CHINA-WAREHOUSE,MAT-0211,0
2024-01-01,CHINA-WAREHOUSE,MAT-0212,0
2024-01-01,CHINA-WAREHOUSE,MAT-0213,92025
2024-01-01,CHINA-WAREHOUSE,MAT-0214,5025
2024-01-01,CHINA-WAREHOUSE,MAT-0215,106800
2024-01-01,CHINA-WAREHOUSE,MAT-0216,18520
2024-01-01,CHINA-WAREHOUSE,MAT-0217,153700
2024-01-01,CHINA-WAREHOUSE,MAT-0218,0
2024-01-01,CHINA-WAREHOUSE,MAT-0219,0
2024-01-01,CHINA-WAREHOUSE,MAT-0220,0
2024-01-01,CHINA-WAREHOUSE,MAT-0221,0
2024-01-01,CHINA-WAREHOUSE,MAT-0222,0
2024-01-01,CHINA-WAREHOUSE,MAT-0223,0
2024-01-01,CHINA-WAREHOUSE,MAT-0224,0
2024-01-01,CHINA-WAREHOUSE,MAT-0225,0
2024-01-01,CHINA-WAREHOUSE,MAT-0226,0
2024-01-01,CHINA-WAREHOUSE,MAT-0227,0
2024-01-01,CHINA-WAREHOUSE,MAT-0228,0
2024-01-01,CHINA-WAREHOUSE,MAT-0229,173175
2024-01-01,CHINA-WAREHOUSE,MAT-0230,0
2024-01-01,CHINA-WAREHOUSE,MAT-0231,0
2024-01-01,CHINA-WAREHOUSE,MAT-0232,0
2024-01-01,CHINA-WAREHOUSE,MAT-0233,6525
2024-01-01,CHINA-WAREHOUSE,MAT-0234,716975
2024-01-01,CHINA-WAREHOUSE,MAT-0235,725
2024-01-01,CHINA-WAREHOUSE,MAT-0236,42200
2024-01-01,CHINA-WAREHOUSE,MAT-0237,601000
2024-01-01,CHINA-WAREHOUSE,MAT-0238,0
2024-01-01,CHINA-WAREHOUSE,MAT-0239,0
2024-01-01,CHINA-WAREHOUSE,MAT-0240,0
2024-01-01,CHINA-WAREHOUSE,MAT-0241,0
2024-01-01,CHINA-WAREHOUSE,MAT-0242,0
2024-01-01,CHINA-WAREHOUSE,MAT-0243,0
2024-01-01,CHINA-WAREHOUSE,MAT-0244,0
2024-01-01,CHINA-WAREHOUSE,MAT-0245,0
2024-01-01,CHINA-WAREHOUSE,MAT-0246,0
2024-01-01,CHINA-WAREHOUSE,MAT-0247,0
2024-01-01,CHINA-WAREHOUSE,MAT-0248,0
2024-01-01,CHINA-WAREHOUSE,MAT-0249,25900
2024-01-01,CHINA-WAREHOUSE,MAT-0250,0
2024-01-01,CHINA-WAREHOUSE,MAT-0251,0
2024-01-01,CHINA-WAREHOUSE,MAT-0252,0
2024-01-01,CHINA-WAREHOUSE,MAT-0253,0
2024-01-01,CHINA-WAREHOUSE,MAT-0254,0
2024-01-01,CHINA-WAREHOUSE,MAT-0255,0
2024-01-01,CHINA-WAREHOUSE,MAT-0256,98850
2024-01-01,CHINA-WAREHOUSE,MAT-0257,9939
2024-01-01,CHINA-WAREHOUSE,MAT-0258,22737
2024-01-01,CHINA-WAREHOUSE,MAT-0259,125750
2024-01-01,CHINA-WAREHOUSE,MAT-0260,2400
2024-01-01,CHINA-WAREHOUSE,MAT-0261,535425
2024-01-01,CHINA-WAREHOUSE,MAT-0262,49500
2024-01-01,CHINA-WAREHOUSE,MAT-0263,0
2024-01-01,CHINA-WAREHOUSE,MAT-0264,411675
2024-01-01,CHINA-WAREHOUSE,MAT-0265,275075
2024-01-01,CHINA-WAREHOUSE,MAT-0266,98700
2024-01-01,CHINA-WAREHOUSE,MAT-0267,9400
2024-01-01,CHINA-WAREHOUSE,MAT-0268,400075
2024-01-01,CHINA-WAREHOUSE,MAT-0269,12375
2024-01-01,CHINA-WAREHOUSE,MAT-0270,324075
2024-01-01,CHINA-WAREHOUSE,MAT-0271,600
2024-01-01,CHINA-WAREHOUSE,MAT-0272,0
2024-01-01,CHINA-WAREHOUSE,MAT-0273,0
2024-01-01,CHINA-WAREHOUSE,MAT-0274,0
2024-01-01,CHINA-WAREHOUSE,MAT-0275,0
2024-01-01,CHINA-WAREHOUSE,MAT-0276,53525
2024-01-01,CHINA-WAREHOUSE,MAT-0277,51925
2024-01-01,CHINA-WAREHOUSE,MAT-0278,39525
2024-01-01,CHINA-WAREHOUSE,MAT-0279,1654
2024-01-01,CHINA-WAREHOUSE,MAT-0280,37
2024-01-01,CHINA-WAREHOUSE,MAT-0281,265525
2024-01-01,CHINA-WAREHOUSE,MAT-0282,0
2024-01-01,CHINA-WAREHOUSE,MAT-0283,0
2024-01-01,CHINA-WAREHOUSE,MAT-0284,0
2024-01-01,CHINA-WAREHOUSE,MAT-0285,0
2024-01-01,CHINA-WAREHOUSE,MAT-0286,0
2024-01-01,CHINA-WAREHOUSE,MAT-0287,0
2024-01-01,CHINA-WAREHOUSE,MAT-0288,0
2024-01-01,CHINA-WAREHOUSE,MAT-0289,0
2024-01-01,CHINA-WAREHOUSE,MAT-0290,0
2024-01-01,CHINA-WAREHOUSE,MAT-0291,0
2024-01-01,CHINA-WAREHOUSE,MAT-0292,0
2024-01-01,CHINA-WAREHOUSE,MAT-0293,0
2024-01-01,CHINA-WAREHOUSE,MAT-0294,1199
2024-01-01,CHINA-WAREHOUSE,MAT-0295,108850
2024-01-01,CHINA-WAREHOUSE,MAT-0296,0
2024-01-01,CHINA-WAREHOUSE,MAT-0297,0
2024-01-01,CHINA-WAREHOUSE,MAT-0298,0
2024-01-01,CHINA-WAREHOUSE,MAT-0299,0
2024-01-01,CHINA-WAREHOUSE,MAT-0300,0
2024-01-01,CHINA-WAREHOUSE,MAT-0301,0
2024-01-01,CHINA-WAREHOUSE,MAT-0302,0
2024-01-01,CHINA-WAREHOUSE,MAT-0303,0
2024-01-01,CHINA-WAREHOUSE,MAT-0304,0
2024-01-01,CHINA-WAREHOUSE,MAT-0305,0
2024-01-01,CHINA-WAREHOUSE,MAT-0306,0
2024-01-01,CHINA-WAREHOUSE,MAT-0307,0
2024-01-01,CHINA-WAREHOUSE,MAT-0308,0
2024-01-01,CHINA-WAREHOUSE,MAT-0309,0
2024-01-01,CHINA-WAREHOUSE,MAT-0310,0
2024-01-01,CHINA-WAREHOUSE,MAT-0311,5807
2024-01-01,CHINA-WAREHOUSE,MAT-0312,32325
2024-01-01,CHINA-WAREHOUSE,MAT-0313,2500
2024-01-01,CHINA-WAREHOUSE,MAT-0314,1753400
2024-01-01,CHINA-WAREHOUSE,MAT-0315,0
2024-01-01,CHINA-WAREHOUSE,MAT-0316,149300
2024-01-01,CHINA-WAREHOUSE,MAT-0317,385250
2024-01-01,CHINA-WAREHOUSE,MAT-0318,199125
2024-01-01,CHINA-WAREHOUSE,MAT-0319,588875
2024-01-01,CHINA-WAREHOUSE,MAT-0320,16200
2024-01-01,CHINA-WAREHOUSE,MAT-0321,508425
2024-01-01,CHINA-WAREHOUSE,MAT-0322,26725
2024-01-01,CHINA-WAREHOUSE,MAT-0323,273425
2024-01-01,CHINA-WAREHOUSE,MAT-0324,557300
2024-01-01,CHINA-WAREHOUSE,MAT-0325,554925
2024-01-01,CHINA-WAREHOUSE,MAT-0326,83700
2024-01-01,CHINA-WAREHOUSE,MAT-0327,243975
2024-01-01,CHINA-WAREHOUSE,MAT-0328,408250
2024-01-01,CHINA-WAREHOUSE,MAT-0329,24375
2024-01-01,CHINA-WAREHOUSE,MAT-0330,24350
2024-01-01,CHINA-WAREHOUSE,MAT-0331,12
2024-01-01,CHINA-WAREHOUSE,MAT-0332,1468550
2024-01-01,CHINA-WAREHOUSE,MAT-0333,373250
2024-01-01,CHINA-WAREHOUSE,MAT-0334,0
2024-01-01,CHINA-WAREHOUSE,MAT-0335,0
2024-01-01,CHINA-WAREHOUSE,MAT-0336,0
2024-01-01,CHINA-WAREHOUSE,MAT-0337,1000
2024-01-01,CHINA-WAREHOUSE,MAT-0338,36450
2024-01-01,CHINA-WAREHOUSE,MAT-0339,25975
2024-01-01,CHINA-WAREHOUSE,MAT-0340,540075
2024-01-01,CHINA-WAREHOUSE,MAT-0341,0
2024-01-01,CHINA-WAREHOUSE,MAT-0342,0
2024-01-01,CHINA-WAREHOUSE,MAT-0343,0
2024-01-01,CHINA-WAREHOUSE,MAT-0344,0
2024-01-01,CHINA-WAREHOUSE,MAT-0345,0
2024-01-01,CHINA-WAREHOUSE,MAT-0346,0
2024-01-01,CHINA-WAREHOUSE,MAT-0347,0
2024-01-01,CHINA-WAREHOUSE,MAT-0348,0
2024-01-01,CHINA-WAREHOUSE,MAT-0349,0
2024-01-01,CHINA-WAREHOUSE,MAT-0350,1075
2024-01-01,CHINA-WAREHOUSE,MAT-0351,6825
2024-01-01,CHINA-WAREHOUSE,MAT-0352,18700
2024-01-01,CHINA-WAREHOUSE,MAT-0353,374975
2024-01-01,CHINA-WAREHOUSE,MAT-0354,0
2024-01-01,CHINA-WAREHOUSE,MAT-0355,0
2024-01-01,CHINA-WAREHOUSE,MAT-0356,110850
2024-01-01,CHINA-WAREHOUSE,MAT-0357,82800
2024-01-01,CHINA-WAREHOUSE,MAT-0358,1150
2024-01-01,CHINA-WAREHOUSE,MAT-0359,0
2024-01-01,CHINA-WAREHOUSE,MAT-0360,0
2024-01-01,CHINA-WAREHOUSE,MAT-0361,0
2024-01-01,CHINA-WAREHOUSE,MAT-0362,3250
2024-01-01,CHINA-WAREHOUSE,MAT-0363,0
2024-01-01,CHINA-WAREHOUSE,MAT-0364,0
2024-01-01,CHINA-WAREHOUSE,MAT-0365,0
2024-01-01,CHINA-WAREHOUSE,MAT-0366,0
2024-01-01,CHINA-WAREHOUSE,MAT-0367,0
2024-01-01,CHINA-WAREHOUSE,MAT-0368,0
2024-01-01,CHINA-WAREHOUSE,MAT-0369,0
2024-01-01,CHINA-WAREHOUSE,MAT-0370,0
2024-01-01,CHINA-WAREHOUSE,MAT-0371,0
2024-01-01,CHINA-WAREHOUSE,MAT-0372,0
2024-01-01,CHINA-WAREHOUSE,MAT-0373,50
2024-01-01,CHINA-WAREHOUSE,MAT-0374,24350
2024-01-01,CHINA-WAREHOUSE,MAT-0375,102075
2024-01-01,CHINA-WAREHOUSE,MAT-0376,2675
2024-01-01,CHINA-WAREHOUSE,MAT-0377,152225
2024-01-01,CHINA-WAREHOUSE,MAT-0378,266425
2024-01-01,CHINA-WAREHOUSE,MAT-0379,330750
2024-01-01,CHINA-WAREHOUSE,MAT-0380,56750
2024-01-01,CHINA-WAREHOUSE,MAT-0381,49400
2024-01-01,CHINA-WAREHOUSE,MAT-0382,332800
2024-01-01,CHINA-WAREHOUSE,MAT-0383,0
2024-01-01,CHINA-WAREHOUSE,MAT-0384,24750
2024-01-01,CHINA-WAREHOUSE,MAT-0385,650
2024-01-01,CHINA-WAREHOUSE,MAT-0386,327450
2024-01-01,CHINA-WAREHOUSE,MAT-0387,20800
2024-01-01,CHINA-WAREHOUSE,MAT-0388,99000
2024-01-01,CHINA-WAREHOUSE,MAT-0389,1576600
2024-01-01,CHINA-WAREHOUSE,MAT-0390,121775
2024-01-01,CHINA-WAREHOUSE,MAT-0391,0
2024-01-01,CHINA-WAREHOUSE,MAT-0392,0
2024-01-01,CHINA-WAREHOUSE,MAT-0393,0
2024-01-01,CHINA-WAREHOUSE,MAT-0394,0
2024-01-01,CHINA-WAREHOUSE,MAT-0395,0
2024-01-01,CHINA-WAREHOUSE,MAT-0396,106675
2024-01-01,CHINA-WAREHOUSE,MAT-0397,25450
2024-01-01,CHINA-WAREHOUSE,MAT-0398,0
2024-01-01,CHINA-WAREHOUSE,MAT-0399,0
2024-01-01,CHINA-WAREHOUSE,MAT-0400,0
2024-01-01,CHINA-WAREHOUSE,MAT-0401,0
2024-01-01,CHINA-WAREHOUSE,MAT-0402,0
2024-01-01,CHINA-WAREHOUSE,MAT-0403,0
2024-01-01,CHINA-WAREHOUSE,MAT-0404,0
2024-01-01,CHINA-WAREHOUSE,MAT-0405,0
2024-01-01,CHINA-WAREHOUSE,MAT-0406,0
2024-01-01,CHINA-WAREHOUSE,MAT-0407,0
2024-01-01,CHINA-WAREHOUSE,MAT-0408,0
2024-01-01,CHINA-WAREHOUSE,MAT-0409,0
2024-01-01,CHINA-WAREHOUSE,MAT-0410,0
2024-01-01,CHINA-WAREHOUSE,MAT-0411,0
2024-01-01,CHINA-WAREHOUSE,MAT-0412,0
2024-01-01,CHINA-WAREHOUSE,MAT-0413,43400
2024-01-01,CHINA-WAREHOUSE,MAT-0414,0
2024-01-01,CHINA-WAREHOUSE,MAT-0415,134600
2024-01-01,CHINA-WAREHOUSE,MAT-0416,560300
2024-01-01,CHINA-WAREHOUSE,MAT-0417,0
2024-01-01,CHINA-WAREHOUSE,MAT-0418,0
2024-01-01,CHINA-WAREHOUSE,MAT-0419,0
2024-01-01,CHINA-WAREHOUSE,MAT-0420,0
2024-01-01,CHINA-WAREHOUSE,MAT-0421,0
2024-01-01,CHINA-WAREHOUSE,MAT-0422,0
2024-01-01,CHINA-WAREHOUSE,MAT-0423,0
2024-01-01,CHINA-WAREHOUSE,MAT-0424,0
2024-01-01,CHINA-WAREHOUSE,MAT-0425,0
2024-01-01,CHINA-WAREHOUSE,MAT-0426,0
2024-01-01,CHINA-WAREHOUSE,MAT-0427,0
2024-01-01,CHINA-WAREHOUSE,MAT-0428,215675
2024-01-01,CHINA-WAREHOUSE,MAT-0429,850
2024-01-01,CHINA-WAREHOUSE,MAT-0430,0
2024-01-01,CHINA-WAREHOUSE,MAT-0431,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0001,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0002,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0003,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0004,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0005,15000
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0006,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0007,5425
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0008,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0009,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0010,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0011,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0012,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0013,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0014,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0015,2344000
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0016,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0017,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0018,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0019,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0020,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0021,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0022,6875
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0023,0
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0024,0
